JobSat,Age,YearsCodePro,ConvertedComp,WorkWeekHrs,EdLevel
5,31.0,5.0,68745.0,45.0,Master
2,46.0,18.0,55776.0,40.0,Bachelor
5,32.0,3.0,63016.0,30.0,Master
3,27.0,2.0,35748.0,40.0,Master
4,24.0,3.0,15120.0,22.0,Bachelor
2,32.0,1.0,28644.0,40.0,Master
4,49.0,33.0,47567.0,55.0,Bachelor
2,27.0,7.0,28245.0,50.0,Master
4,37.0,21.0,91606.0,35.0,other
3,27.0,4.0,38916.0,45.0,Doctoral
5,30.0,1.0,27492.0,37.0,other
3,43.0,15.0,97288.0,40.0,Doctoral
4,28.0,10.0,54956.0,45.0,other
3,24.0,5.0,43018.0,40.0,other
1,25.0,3.0,20112.0,40.0,other
2,37.0,15.0,127576.0,40.0,Master
2,41.0,24.0,95423.0,40.0,other
4,33.0,9.0,63016.0,45.0,Doctoral
4,25.0,7.0,48121.0,43.0,Master
4,29.0,5.0,48121.0,40.0,other
4,30.0,2.0,59454.0,35.0,Master
2,47.0,25.0,162147.0,60.0,Master
4,28.0,3.0,51888.0,37.0,Master
5,24.0,2.0,43848.0,40.0,other
5,22.0,1.0,32315.0,35.0,Bachelor
5,30.0,7.0,59579.0,36.0,Doctoral
2,43.0,20.0,54996.0,42.0,Master
4,27.0,1.0,32961.0,35.0,other
2,39.0,20.0,68745.0,40.0,Master
3,28.0,4.0,54049.0,45.0,Doctoral
5,40.0,9.0,57636.0,40.0,other
2,40.0,13.0,58428.0,36.0,Bachelor
5,25.0,3.0,35748.0,40.0,Bachelor
4,29.0,9.0,88640.0,45.0,Master
2,33.0,12.0,95097.0,43.0,Master
3,43.0,18.0,97389.0,40.0,Bachelor
2,35.0,8.0,64630.0,45.0,Doctoral
4,39.0,19.0,60552.0,40.0,Bachelor
1,24.0,0.0,34900.0,35.0,Bachelor
2,35.0,3.0,38620.0,40.0,Master
5,27.0,6.0,68041.0,40.0,Bachelor
4,38.0,10.0,91660.0,35.0,other
1,33.0,11.0,67335.0,40.0,other
1,45.0,15.0,116333.0,40.784946236559136,other
5,31.0,5.0,90758.0,50.0,Bachelor
4,33.0,9.0,114575.0,36.0,Bachelor
5,20.0,4.0,27492.0,24.0,other
4,39.0,15.0,33000.0,20.0,Bachelor
2,26.0,3.0,36193.0,40.0,Bachelor
1,48.0,10.0,27492.0,30.0,Master
5,35.0,16.0,59454.0,40.0,other
4,34.0,13.0,131988.0,65.0,Master
3,37.0,10.0,46976.0,38.0,other
4,48.0,29.0,81074.0,45.0,other
1,23.0,0.0,13752.0,18.0,other
4,30.0,3.0,27924.0,42.0,other
2,26.0,3.0,47563.0,41.0,Master
5,23.0,0.0,43992.0,38.0,Master
2,44.0,22.0,163842.0,40.0,Master
4,23.0,5.0,54996.0,39.0,other
3,29.0,2.0,78629.0,40.0,Master
5,26.0,3.0,38915.0,32.0,Bachelor
3,23.0,4.0,27492.0,40.0,other
5,25.0,2.0,36637.0,40.0,other
3,41.0,5.0,48120.0,40.0,other
5,32.0,3.0,54996.0,45.0,Doctoral
4,24.0,6.0,68745.0,45.0,other
4,40.0,21.0,65554.0,44.0,Master
4,29.0,12.0,126032.0,40.0,other
4,25.0,4.0,39254.0,37.5,Bachelor
2,42.0,17.0,130847.0,40.0,Master
5,30.0,7.0,109912.0,37.5,Bachelor
5,30.0,6.0,42393.0,40.0,Master
5,50.0,15.0,73507.0,40.0,Doctoral
2,38.0,14.0,91660.0,41.0,Bachelor
2,25.0,2.0,36780.0,35.0,Master
4,33.0,2.0,47105.0,39.0,Bachelor
1,37.0,11.0,70231.0,45.0,other
2,25.0,3.0,50413.0,40.0,Master
5,43.0,33.0,64859.0,50.0,Master
5,51.0,13.0,38916.0,40.0,Bachelor
3,30.0,8.0,46482.0,40.0,Master
4,30.0,7.0,68748.0,39.0,Master
5,24.0,4.0,45830.0,45.0,Master
5,35.0,5.0,64859.0,40.0,Doctoral
5,51.0,24.0,111220.0,32.0,Bachelor
5,27.0,6.0,39252.0,37.5,other
5,37.0,10.0,68745.0,32.0,Master
4,27.0,2.0,47105.0,38.0,Bachelor
5,37.0,11.0,82494.0,40.0,Bachelor
4,28.0,9.0,49500.0,40.0,Master
4,29.0,5.0,44320.0,37.0,Master
2,29.0,12.0,48000.0,40.0,other
4,55.0,20.0,65424.0,70.0,other
1,24.0,3.0,16500.0,30.0,Master
5,41.0,20.0,109871.0,40.0,Bachelor
1,30.0,7.0,57254.0,40.0,Bachelor
5,35.0,10.0,56376.0,35.0,Master
5,41.0,12.0,7080.0,10.0,Bachelor
4,25.0,0.0,48121.0,40.0,Bachelor
4,39.0,17.0,197172.0,40.0,other
2,31.0,6.0,45830.0,39.0,Master
4,31.0,8.0,32081.0,40.0,Master
3,29.0,5.0,47563.0,43.0,Master
4,28.0,4.0,93067.0,40.0,Bachelor
4,36.0,13.0,66732.0,37.5,Bachelor
3,31.0,5.0,23419.0,20.0,Master
5,29.0,2.0,37816.0,50.0,Bachelor
4,33.0,5.0,54289.0,45.0,Doctoral
2,31.0,5.0,43538.0,40.0,Doctoral
5,32.0,7.0,61071.0,40.0,other
5,23.0,1.0,57287.0,40.0,Bachelor
2,41.0,0.0,37291.0,35.0,Bachelor
3,40.0,7.0,65424.0,45.0,Bachelor
5,32.0,10.0,65672.0,37.5,Bachelor
5,38.0,16.0,103117.0,40.0,Master
4,37.0,18.0,99240.0,40.0,other
5,25.0,2.0,59544.0,40.0,Bachelor
5,24.0,3.0,25440.0,39.0,Bachelor
5,27.0,0.0,52968.0,40.0,Bachelor
4,25.0,1.0,22056.0,19.0,Master
4,23.0,0.0,45797.0,40.0,Bachelor
5,23.0,0.0,15564.0,40.0,other
2,31.0,9.0,80202.0,40.0,Bachelor
4,35.0,3.0,62045.0,35.0,other
5,27.0,5.0,11004.0,20.0,Bachelor
5,25.0,5.0,57508.0,40.0,other
4,37.0,16.0,64630.0,30.0,Master
3,39.0,21.0,75619.0,40.0,other
5,35.0,11.0,80202.0,40.0,Master
2,35.0,10.0,64980.0,50.0,Doctoral
2,25.0,8.0,112000.0,40.0,other
5,31.0,6.0,67525.0,50.0,Master
5,32.0,11.0,27888.0,40.0,other
2,29.0,5.0,70264.0,40.0,Master
4,29.0,7.0,77832.0,40.0,Bachelor
4,27.0,3.0,57300.0,42.0,Master
4,23.0,2.0,21590.0,35.0,Master
5,27.0,0.0,56750.0,37.5,Master
5,24.0,4.0,1560.0,37.10531914893617,Master
2,23.0,1.0,39424.0,38.0,Bachelor
5,25.0,2.0,54049.0,40.0,Master
5,34.0,9.0,47105.0,40.0,Master
5,26.0,8.0,127576.0,40.0,Bachelor
2,27.0,6.0,41244.0,40.0,Master
2,31.0,3.0,47436.0,40.0,Bachelor
5,28.0,2.0,63016.0,35.0,Doctoral
2,38.0,5.0,81074.0,40.0,Bachelor
3,48.0,25.0,80155.0,50.0,Master
5,29.0,3.0,26124.0,40.0,Master
2,51.0,30.0,54956.0,33.0,Master
5,29.0,7.0,54996.0,40.0,other
4,23.0,1.0,51030.0,40.0,Bachelor
5,31.0,3.0,67026.0,40.0,Master
2,29.0,7.0,59676.0,38.0,Master
4,27.0,8.0,34900.0,50.0,other
4,52.0,30.0,30535.0,40.0,other
4,29.0,5.0,61870.0,45.0,Master
4,44.0,15.0,124305.0,38.0,other
4,25.0,2.0,27492.0,24.0,Master
4,38.0,16.0,77854.0,40.0,Doctoral
2,30.0,8.0,91660.0,40.0,Doctoral
5,44.0,24.0,67215.0,40.0,Bachelor
1,37.0,9.0,33510.0,36.0,other
5,45.0,21.0,121200.0,37.5,Bachelor
1,31.0,5.0,74474.0,40.0,Master
4,37.0,22.0,74430.0,40.0,Bachelor
5,28.0,5.0,81682.0,40.0,Bachelor
5,23.0,1.0,28105.0,37.0,Master
5,32.0,6.0,61437.0,46.0,Doctoral
5,21.0,2.0,12972.0,40.0,other
3,32.0,12.0,65043.0,37.5,other
5,30.0,2.0,83194.0,35.0,Doctoral
4,42.0,6.0,56264.0,45.0,other
4,31.0,13.0,51888.0,38.0,other
2,29.0,7.0,53437.0,37.5,Bachelor
5,30.0,8.0,56376.0,40.0,other
2,32.0,3.0,45797.0,45.0,other
5,23.0,3.0,20936.0,40.0,Master
4,32.0,5.0,91660.0,40.0,other
5,29.0,2.0,54049.0,38.0,Doctoral
5,33.0,6.0,67021.0,45.0,Bachelor
5,24.0,4.0,27492.0,40.0,other
5,24.0,5.0,53437.0,40.0,Bachelor
5,38.0,9.0,65424.0,37.0,Doctoral
5,32.0,6.0,54996.0,38.0,Bachelor
5,24.0,3.0,68745.0,40.0,Master
4,25.0,6.0,75630.0,50.0,Master
5,27.0,3.0,38916.0,35.0,Master
5,56.0,32.0,86004.0,60.0,Doctoral
5,42.0,22.0,54956.0,40.0,Doctoral
4,35.0,11.0,82488.0,40.0,other
4,41.0,19.0,126032.0,40.0,Master
2,24.0,1.0,45241.0,41.0,Master
5,46.0,25.0,112529.0,38.0,Bachelor
4,26.0,4.0,43538.0,39.0,Master
3,22.0,3.0,27492.0,10.0,Bachelor
2,36.0,19.0,29879.0,31.0,other
5,23.0,3.0,62598.0,40.0,Bachelor
4,23.0,4.0,58167.0,40.0,other
5,23.0,0.0,13056.0,40.0,Bachelor
4,39.0,20.0,68745.0,40.0,other
5,34.0,14.0,94210.0,42.0,other
5,22.0,6.0,44320.0,40.0,other
4,30.0,4.0,73328.0,36.0,Master
2,48.0,2.0,21620.0,45.0,other
2,44.0,22.0,83972.0,35.0,Bachelor
4,36.0,7.0,63564.0,30.0,other
5,30.0,5.0,51559.0,30.0,Master
1,56.0,20.0,68102.0,40.0,Doctoral
2,26.0,5.0,54996.0,36.0,Bachelor
3,27.0,3.0,48121.0,36.0,other
4,38.0,13.0,129718.0,45.0,Master
4,36.0,13.297435897435898,59454.0,45.0,Doctoral
4,32.0,8.0,68748.0,40.0,Master
5,36.0,12.0,85931.0,40.0,Doctoral
4,38.0,4.0,37620.0,42.0,Master
4,26.0,4.0,57254.0,40.0,Bachelor
5,64.0,40.0,25944.0,50.0,Doctoral
4,55.0,38.0,73274.0,36.0,Doctoral
4,29.0,2.0,54049.0,40.0,Master
4,26.0,7.0,42624.0,40.0,Master
4,26.0,3.0,45401.0,45.0,Bachelor
4,32.0,8.0,51704.0,10.0,Master
5,38.0,15.0,56211.0,38.0,other
5,27.0,7.0,42393.0,40.0,Master
4,25.0,3.0,64859.0,30.0,Bachelor
5,24.0,2.0,33693.0,39.0,Bachelor
5,27.0,2.0,56724.0,40.0,Bachelor
5,34.0,6.0,72636.0,45.0,Master
5,24.0,6.0,48121.0,35.0,Bachelor
2,22.0,2.0,16500.0,35.0,Bachelor
1,24.0,5.0,31620.0,42.0,other
5,28.0,8.0,130600.0,38.0,other
5,41.0,19.0,81074.0,37.0,Bachelor
2,21.0,4.0,18973.0,38.0,Bachelor
3,37.0,16.0,79740.0,40.0,other
2,28.0,4.0,41871.0,36.5,Master
5,24.0,2.0,31128.0,40.0,Master
5,35.0,14.0,47826.0,37.0,other
4,59.0,25.0,64630.0,35.0,other
4,30.0,7.0,122142.0,40.0,Master
4,32.0,4.0,34591.0,37.0,other
4,22.0,4.0,34368.0,40.0,other
5,31.0,9.0,74474.0,35.0,Bachelor
5,24.0,2.0,51030.0,36.0,Master
2,39.0,18.0,60492.0,38.0,Bachelor
5,24.0,0.0,28176.0,37.0,Master
5,33.0,11.0,48120.0,41.0,Master
5,24.0,2.0,42624.0,40.0,Master
4,30.0,7.0,44320.0,40.0,Master
4,32.0,9.0,60752.0,40.0,Master
5,26.0,8.0,64859.0,38.0,other
3,25.0,5.0,24207.0,37.5,other
5,32.0,7.0,69800.0,40.0,Master
5,29.0,7.0,45803.0,50.0,other
4,26.0,2.0,27492.0,35.0,Master
4,43.0,18.0,94539.0,37.5,Doctoral
5,33.0,10.0,16860.0,35.0,Master
4,25.0,0.0,17184.0,16.0,Bachelor
4,32.0,5.0,68745.0,40.0,Master
3,26.0,3.0,61870.0,40.0,other
5,37.0,18.0,196271.0,60.0,other
2,39.0,8.0,45241.0,60.0,Doctoral
4,30.0,4.0,15120.0,20.0,other
2,28.0,3.0,37620.0,36.0,Master
4,24.0,5.0,16794.0,40.0,Master
4,28.0,6.0,85051.0,40.0,Bachelor
3,43.0,10.0,79817.0,52.0,Master
2,30.0,9.0,41316.0,45.0,Master
5,25.0,3.0,71966.0,40.0,Master
3,29.0,4.0,72180.0,37.0,Master
5,43.0,19.0,103117.0,40.0,Doctoral
4,40.0,16.0,58428.0,40.0,other
4,34.0,14.0,46533.0,43.0,other
4,30.0,3.0,37128.0,37.5,Bachelor
1,41.0,20.0,129259.0,45.0,Bachelor
3,32.0,13.0,74474.0,40.0,Master
5,55.0,25.0,77832.0,50.0,Master
1,52.0,30.0,90758.0,37.5,other
3,29.0,10.0,25944.0,32.0,other
4,36.0,7.0,36720.0,37.0,Doctoral
4,32.0,14.0,91874.0,38.0,other
3,35.0,9.0,34143.0,36.0,other
4,25.0,6.0,52932.0,40.0,other
5,38.0,10.0,91660.0,35.0,Master
5,25.0,4.0,75631.0,50.0,Bachelor
5,44.0,27.0,170101.0,39.0,other
2,26.0,1.0,45257.0,42.0,Bachelor
5,30.0,7.0,79057.0,40.0,Master
2,32.0,10.0,67129.0,48.0,Master
5,25.0,5.0,61298.0,40.0,Bachelor
4,25.0,7.0,61870.0,40.0,other
4,25.0,2.0,34368.0,38.0,other
4,30.0,0.0,69891.0,40.0,Doctoral
5,28.0,4.0,22956.0,50.0,Master
5,25.0,1.0,60725.0,40.0,Master
5,27.0,8.0,28188.0,40.0,Master
4,30.0,3.0,58167.0,38.0,Doctoral
4,32.0,9.0,60552.0,41.0,Bachelor
5,54.0,20.0,59459.0,45.0,other
5,54.0,30.0,91660.0,45.0,Master
4,26.0,2.0,38169.0,42.0,other
5,22.0,6.0,103057.0,40.0,Bachelor
5,28.0,5.0,57287.0,40.0,Master
5,31.0,3.0,149941.0,50.0,other
1,34.0,0.0,46533.0,37.5,Master
2,28.0,5.0,117763.0,40.0,Master
2,22.0,4.0,35748.0,40.0,other
4,33.0,15.0,68745.0,40.0,Bachelor
5,23.0,2.0,35748.0,40.0,Master
4,32.0,11.0,68745.0,40.0,other
2,25.0,3.0,46976.0,45.0,other
3,34.0,9.0,54996.0,30.0,Master
4,28.0,5.0,59124.0,40.0,Master
2,25.0,6.0,20628.0,60.0,other
3,28.0,10.0,63016.0,45.0,other
4,39.0,14.0,59400.0,40.0,Bachelor
4,37.0,11.0,54996.0,40.0,Master
3,22.0,2.0,47170.0,37.5,Bachelor
4,32.0,7.0,39254.0,37.0,Master
5,28.0,5.0,16500.0,48.0,other
4,30.0,6.0,35547.0,50.0,Doctoral
4,20.0,2.0,2291.0,35.0,other
3,23.0,3.0,11004.0,40.0,other
5,27.0,5.0,47180.0,40.0,Bachelor
4,32.0,3.0,43239.0,35.0,Master
2,42.0,22.0,68748.0,40.0,Bachelor
2,32.0,10.0,172957.0,40.0,Master
4,20.0,0.0,10308.0,40.0,other
5,38.0,11.0,196271.0,55.0,Doctoral
4,36.0,16.0,53184.0,40.0,other
5,26.0,2.0,100752.0,50.0,Master
1,24.0,2.0,4404.0,40.0,other
4,24.0,6.0,108098.0,45.0,other
2,26.0,6.0,34152.0,38.0,Bachelor
3,44.0,20.0,41244.0,37.0,Master
3,24.0,3.0,72522.0,55.0,Bachelor
5,58.0,30.0,97288.0,42.0,other
2,21.0,2.0,140000.0,55.0,Bachelor
4,39.0,0.0,51888.0,45.0,Doctoral
4,25.0,4.0,31620.0,40.0,other
5,27.0,6.0,58433.0,40.0,Bachelor
5,32.0,13.0,54076.0,40.0,other
5,27.0,2.0,63016.0,40.0,Master
3,37.0,6.0,58881.0,37.5,other
4,58.0,30.0,70231.0,35.0,other
5,20.0,6.0,34034.0,40.0,Bachelor
5,24.0,3.0,64859.0,40.0,Master
4,21.0,5.0,41244.0,40.0,other
3,32.0,4.0,26352.0,50.0,Master
4,34.0,8.0,119088.0,32.0,Bachelor
2,32.0,14.0,91660.0,35.0,Bachelor
2,28.0,5.0,77900.0,37.0,Master
5,43.0,14.0,46752.0,40.0,other
5,29.0,3.0,104855.0,40.0,Doctoral
1,28.0,6.0,30252.0,45.0,Master
2,30.0,8.0,80202.0,8.0,Master
5,53.71052631578947,35.0,57250.0,32.0,Bachelor
5,26.0,10.0,78508.0,35.0,Master
4,48.0,15.0,126032.0,45.0,Master
5,36.0,9.0,90377.0,50.0,Master
1,26.0,1.0,40.0,35.0,Master
1,47.0,10.0,43110.0,40.0,other
2,32.0,12.0,77556.0,37.5,Bachelor
2,53.0,23.0,103117.0,40.0,other
3,38.0,12.0,64859.0,40.0,Bachelor
5,29.0,4.0,25944.0,55.0,Master
2,37.0,20.0,64860.0,45.0,Master
4,29.0,7.0,57287.0,8.0,other
3,54.0,36.0,137484.0,40.0,Master
5,57.0,34.0,77911.0,40.0,Bachelor
4,35.0,5.0,39314.0,40.0,Bachelor
3,48.0,22.0,54956.0,40.399014778325125,other
3,31.0,1.0,28536.0,45.0,Master
5,54.0,31.0,53574.0,50.0,Master
2,27.0,5.0,52557.0,40.0,Bachelor
2,31.0,7.0,67021.0,60.0,Bachelor
2,35.0,12.0,118325.0,40.0,Bachelor
5,29.0,5.0,103117.0,50.0,Bachelor
4,31.0,6.0,54996.0,45.0,Bachelor
5,32.0,5.0,137390.0,45.0,Master
5,48.0,8.0,80202.0,40.0,Master
4,53.0,27.0,114575.0,45.0,other
5,21.0,3.0,10584.0,12.0,other
2,30.0,5.0,43308.0,40.0,Bachelor
3,22.0,3.0,33000.0,40.0,other
3,31.0,10.0,78508.0,40.0,other
4,30.0,10.0,95440.0,40.0,Doctoral
4,35.0,10.0,42393.0,40.0,Doctoral
4,35.0,7.0,51704.0,40.0,Doctoral
2,24.0,4.0,42656.0,37.5,Bachelor
2,51.0,32.0,124792.0,60.0,Bachelor
2,41.0,8.0,114508.0,40.0,Master
4,28.0,5.0,60307.0,50.0,Bachelor
2,38.0,12.0,70231.0,38.0,Master
5,40.0,21.0,103057.0,55.0,Doctoral
4,27.0,4.0,52248.0,40.0,Master
5,25.0,2.0,56723.0,45.0,Bachelor
4,26.0,4.0,95126.0,38.0,Master
3,40.0,20.0,65400.0,30.0,other
5,31.0,7.0,69723.0,40.0,Master
2,36.0,3.0,51910.0,37.5,other
4,41.0,21.0,116333.0,40.0,other
4,24.0,4.0,56629.0,40.0,Bachelor
3,23.0,4.0,20628.0,20.0,other
5,30.0,8.0,24648.0,35.0,Bachelor
2,29.0,1.0,39876.0,40.0,Bachelor
3,54.0,13.0,70264.0,37.0,Master
5,25.0,5.0,51559.0,40.0,Master
3,29.0,18.0,80202.0,45.0,Bachelor
4,26.0,4.0,36435.0,37.0,Bachelor
2,26.0,4.0,98135.0,40.0,Bachelor
5,26.0,4.0,42804.0,40.0,Master
2,43.0,20.0,63528.0,40.0,Bachelor
4,40.0,20.0,68052.0,40.0,Doctoral
5,22.0,4.0,48120.0,40.0,Bachelor
4,30.0,5.0,87896.0,40.0,Doctoral
4,28.0,6.0,64788.0,37.0,Master
4,31.0,11.0,88223.0,40.0,Master
2,34.0,11.0,71345.0,40.0,Bachelor
4,38.0,2.0,48121.0,40.0,Doctoral
1,25.0,6.0,41484.0,45.0,other
4,38.0,4.0,70658.0,40.0,Bachelor
5,23.0,2.0,54956.0,40.0,Bachelor
3,48.0,19.0,77556.0,60.0,Doctoral
2,35.0,8.0,75669.0,38.0,Doctoral
5,32.0,5.0,33000.0,40.0,Master
5,25.0,11.0,104700.0,32.0,Bachelor
4,27.0,1.0,54996.0,45.0,Bachelor
5,28.0,1.0,50413.0,30.0,other
4,27.0,2.0,28536.0,35.0,Master
5,55.0,40.0,85931.0,40.0,other
5,30.0,1.0,42804.0,45.0,Master
2,51.0,34.0,43239.0,60.0,Bachelor
4,27.0,1.0,49500.0,40.0,Master
1,38.0,14.0,51704.0,40.0,Doctoral
2,40.0,20.0,87559.0,45.0,other
5,33.0,9.0,30936.0,60.0,Doctoral
4,22.0,5.0,41591.0,40.0,other
2,37.0,8.0,102693.0,40.0,Bachelor
3,28.0,6.0,38916.0,40.0,Bachelor
5,47.0,20.0,71129.0,40.0,Bachelor
5,30.0,3.0,74970.0,39.0,Doctoral
4,36.0,12.0,82488.0,32.0,other
1,28.0,4.0,31620.0,39.38520408163265,Bachelor
3,23.0,0.0,19416.0,35.0,Bachelor
5,41.0,5.0,57287.0,40.0,other
5,38.0,18.0,80202.0,40.0,Master
2,28.0,2.0,41508.0,40.0,Bachelor
5,24.0,5.0,33227.0,39.0,Master
4,31.0,10.0,133592.0,37.5,Bachelor
4,35.0,7.0,34020.0,30.0,Master
4,32.0,8.0,49267.0,40.0,Master
4,37.0,10.0,57287.0,37.0,Master
5,33.0,4.0,80202.0,36.0,Master
3,43.0,24.0,87789.0,45.0,other
4,22.0,3.0,25752.0,40.0,other
5,29.0,1.0,54049.0,45.0,Master
5,23.0,3.0,37620.0,39.0,Bachelor
5,38.0,10.0,59459.0,37.5,other
5,31.0,14.0,75624.0,40.0,Bachelor
4,31.0,15.0,64859.0,30.0,Master
4,27.0,9.0,54996.0,45.0,Master
5,27.0,10.0,125613.0,40.0,other
5,38.0,15.0,68745.0,40.0,Doctoral
1,27.0,2.0,22056.0,39.0,Master
4,31.0,5.0,58992.0,35.0,Bachelor
4,28.0,3.0,45830.0,36.25,Master
