OrgSize_Empl219,WorkWeekHrs,YearsCodePro,Age1stCode,Country_Canada,Age,JobFactors_Idealist,LanguageWorkedWith_C,Country_Netherlands,Country_Finland,Country_France,ConvertedComp
0,48.0,12.0,12.0,0,31.0,0,0,0,0,0,57254.0
0,40.0,14.0,9.0,0,39.0,0,1,1,0,0,73678.0
0,50.0,8.0,17.0,1,34.0,1,1,0,0,0,51559.0
0,40.0,3.0,13.0,0,25.0,0,0,0,0,0,43308.0
0,38.0,11.0,16.0,0,34.0,0,0,1,0,0,39876.0
0,37.5,8.0,15.0,0,26.0,0,0,0,0,1,61071.0
0,40.0,0.0,27.0,0,31.0,0,1,0,0,0,41247.0
0,35.0,25.0,10.0,0,46.0,0,0,0,0,0,31128.0
0,35.0,3.0,13.0,0,24.0,1,0,0,0,0,41247.0
1,40.0,10.0,19.0,0,36.0,1,1,0,0,1,53437.0
0,50.0,12.0,14.0,0,33.0,0,0,0,0,0,122142.0
0,35.0,8.0,12.0,0,30.0,0,0,0,0,0,99444.0
0,40.0,1.0,15.0,0,22.0,0,0,0,0,0,28786.0
0,70.0,18.0,10.0,0,45.0,0,0,0,0,0,133440.0
1,40.0,12.0,12.0,0,38.0,0,0,0,0,0,89245.0
0,40.0,30.0,25.0,0,59.0,0,0,0,0,0,86478.0
0,40.0,20.0,10.0,0,40.0,0,1,0,0,0,41880.0
0,14.0,0.0,17.0,0,23.0,0,0,0,0,0,11544.0
1,37.5,10.0,15.0,1,34.0,0,0,0,0,0,56264.0
0,40.0,6.0,7.0,0,39.0,1,0,0,1,0,51704.0
0,40.0,6.0,14.0,0,28.0,0,0,0,0,0,51559.0
0,40.0,14.0,22.0,0,37.0,0,0,0,0,0,43180.0
0,40.0,0.0,18.0,0,24.0,1,1,0,0,0,23208.0
0,40.0,6.0,12.0,0,37.0,0,0,1,0,0,89368.0
1,50.0,5.0,15.0,0,27.0,0,1,0,0,0,94000.0
0,38.0,5.0,17.0,0,27.0,0,0,1,0,0,34368.0
0,41.0,8.0,19.0,0,34.0,0,0,0,0,0,76992.0
0,40.0,3.0,12.0,0,25.0,1,0,0,0,0,41244.0
0,40.0,12.0,15.0,0,38.0,0,1,0,0,0,48472.0
0,37.0,5.0,15.0,0,28.0,1,0,0,0,1,59454.0
0,36.0,2.0,15.0,0,27.0,0,0,1,0,0,53621.0
0,50.0,9.0,17.0,0,36.0,1,1,0,0,0,63016.0
0,45.0,12.0,19.0,0,40.0,0,0,0,0,0,76536.0
0,40.0,3.0,10.0,0,31.0,0,0,0,1,0,119071.0
0,37.5,8.0,12.0,0,38.0,0,1,0,0,0,50383.0
0,50.0,17.0,10.0,0,42.0,1,1,0,0,0,148947.0
0,8.0,3.0,15.0,0,23.0,1,0,0,0,0,48644.0
0,42.5,1.0,12.0,0,23.0,0,0,0,0,0,34675.0
0,42.0,22.0,15.0,0,53.0,0,0,0,0,0,68745.0
0,42.0,17.0,15.0,0,37.0,1,0,0,0,0,64630.0
0,40.0,4.0,12.0,0,44.0,0,0,0,0,0,43239.0
