ConvertedComp,Prediction
45401.0,65083.603775145406
70264.0,57870.61988726776
64630.0,60354.400072749326
37834.0,50867.81019071269
73644.0,96752.53170801445
54480.0,66617.00870891393
62045.0,47543.6103941397
60535.0,58974.78002767767
21408.0,46895.55297372128
50592.0,49881.11874311881
46482.0,53596.32143676322
51704.0,82623.73784980364
129259.0,64314.398692249924
60535.0,58862.87583011845
129259.0,85661.94711324842
5832.0,23793.918828014175
40537.0,47368.93185009053
46533.0,47921.35569647754
70264.0,56440.62997853226
103408.0,107501.86103351053
36193.0,48610.37705779557
34591.0,49564.874700581124
40596.0,61554.8852178373
67215.0,64254.01276010103
38916.0,44361.15461236184
54049.0,61290.37685388585
25944.0,68025.28420633836
75669.0,49809.64263574317
49725.0,53251.1621687443
46482.0,58767.06351445982
48644.0,57562.30765337155
16860.0,31317.79385970289
92964.0,67544.14124972578
75669.0,61738.51315377942
78912.0,83695.59318677554
76326.0,64516.82573497133
77556.0,74470.91412150925
44320.0,57104.75336623908
64860.0,60620.277448698944
193900.0,86201.02328270634
35546.0,61499.45429345007
16860.0,58370.48991601104
32556.0,49102.66022836782
53184.0,72211.63788147958
35280.0,50450.922927926855
55836.0,43667.48869696961
60967.0,52280.86463715682
42419.0,45704.33362303075
58167.0,54578.165534427244
62045.0,52811.849550196006
49119.0,35846.253258416335
58368.0,49084.2929506216
64859.0,76507.94189280069
58167.0,70184.91290774556
81074.0,57109.20425826056
67021.0,57375.26925973632
64859.0,64387.93035860738
59676.0,58524.380212138865
44100.0,54936.91687786483
116333.0,71567.2692233409
65922.0,56982.41555910846
31776.0,48766.21936619094
58167.0,53593.56462533717
41508.0,58512.98936716989
42804.0,60033.051354682044
58368.0,73601.261705241
116333.0,78976.77749198479
73507.0,74367.02082439217
51888.0,67077.87530344546
75669.0,69805.20282093456
54049.0,53755.09487424884
49725.0,56133.87109330444
46704.0,55726.404486966654
60967.0,64437.64177920828
78912.0,53793.50300189589
36324.0,53527.62950422881
118908.0,75989.06548182147
102693.0,79971.3848478682
91883.0,68565.70772026127
40212.0,60120.91118567942
33510.0,56417.288534165156
38916.0,60699.81122815953
36193.0,51410.54594796635
17508.0,43943.39459142167
49296.0,62324.299885151464
75240.0,66151.5407141412
72642.0,51565.075171946104
129720.0,66761.85538292551
56211.0,71787.4897899997
91883.0,75921.98390870314
10380.0,25171.877194437686
77831.0,99802.71688840646
54049.0,72424.27399034507
19452.0,45708.286847415
56211.0,79304.51647623559
64859.0,58351.9755757356
51704.0,54602.76948601523
36762.0,56913.89123000564
41363.0,48609.94180126217
25944.0,48908.81075295403
57072.0,61374.09752156002
75669.0,67479.15772558782
11676.0,36195.88632587188
55130.0,49940.27478625589
48000.0,48337.21539865295
81074.0,78299.77998893344
38916.0,54615.2342124053
63778.0,55651.60093533736
38916.0,48520.11198135989
57480.0,51579.42253484198
84312.0,87208.43185222444
59454.0,52011.14766269529
32424.0,57700.982516964825
32424.0,51739.535421996596
43956.0,49901.20629589324
49296.0,51334.45009622143
43239.0,60916.55782125227
45396.0,60014.93596432711
31128.0,55319.623772110324
118908.0,60771.07640063551
44320.0,52371.47176840233
64860.0,51635.25558972544
32424.0,49978.35870455359
49185.0,59382.24663401547
66156.0,53337.0702127947
41510.0,72176.8740800778
14400.0,32215.29868391925
70264.0,67968.92243022802
